Data length, Time, Total bytes, Data rate, Errors
28000, 1.070, 59793, 55881.305, 0
28000, 0.758, 59793, 78882.586, 0
28000, 1.014, 59793, 58967.453, 0
28000, 0.955, 59793, 62610.473, 0
28000, 1.047, 59793, 57108.879, 0
28000, 1.001, 59793, 59733.266, 0
28000, 1.052, 59793, 56837.449, 0
28000, 0.997, 59793, 59972.922, 0
28000, 0.954, 59793, 62676.102, 0
28000, 1.095, 59793, 54605.477, 0
28000, 1.032, 59793, 57938.957, 0
28000, 1.032, 59793, 57938.957, 0
28000, 1.010, 59793, 59200.992, 0
28000, 1.080, 59793, 55363.887, 0
28000, 0.741, 59793, 80692.305, 0
28000, 0.707, 59793, 84572.844, 0
29000, 1.029, 59793, 58107.871, 0
29000, 1.005, 59793, 59495.523, 0
29000, 0.725, 59793, 82473.102, 0
29000, 0.942, 59793, 63474.523, 0
29000, 1.882, 59793, 31770.988, 0
29000, 1.069, 59793, 55933.582, 0
29000, 1.013, 59793, 59025.664, 0
29000, 1.098, 59793, 54456.281, 0
29000, 1.002, 59793, 59673.652, 0
29000, 0.998, 59793, 59912.824, 0
29000, 1.040, 59793, 57493.270, 0
29000, 1.065, 59793, 56143.660, 0
29000, 0.520, 59793, 114986.539, 0
29000, 0.993, 59793, 60214.504, 0
29000, 0.712, 59793, 83978.930, 0
29000, 1.053, 59793, 56783.477, 0
29000, 1.077, 59793, 55518.105, 0
29000, 1.037, 59793, 57659.598, 0
29000, 1.037, 59793, 57659.598, 0
29000, 0.816, 59793, 73275.734, 0
30000, 1.012, 59793, 59083.996, 0
30000, 1.011, 59793, 59142.430, 0
30000, 1.087, 59793, 55007.359, 0
30000, 1.017, 59793, 58793.512, 0
30000, 1.037, 59793, 57659.598, 0
30000, 0.983, 59793, 60827.062, 0
30000, 1.031, 59793, 57995.148, 0
30000, 0.837, 59793, 71437.273, 0
30000, 1.098, 59793, 54456.281, 0
30000, 1.014, 59793, 58967.453, 0
30000, 1.131, 59793, 52867.371, 0
30000, 1.057, 59793, 56568.590, 0
